Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0157584,INS-000710522,03/08/2024,2024,BA-1453747-2022,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,6,Confiscated,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5141719,5080080134,SI11,40.5180131,-74.23445767
A0159416,INS-000726616,03/20/2024,2024,BA-1635802-2023,597 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,6,Confiscated,Complete Address,597,E 16TH ST,,,,BROOKLYN,NY,11226,Brooklyn,314,45,3121219,3052370052,BK42,40.63555928,-73.96239941
A0162293,INS-000731768,04/05/2024,2024,BA-1102863-2022,2358 Meat Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,6,Confiscated,Complete Address,2358,UNIVERSITY AVE,,,,BRONX,NY,10468,Bronx,207,14,2014612,2032120058,BX30,40.86168043,-73.90588858
A0162386,INS-000731913,04/05/2024,2024,BA-1690494-2024,DELI COMBO INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,42,REID AVE,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5050128,5033910027,SI14,40.59379445,-74.08045441
A0154385,INS-000716863,02/14/2024,2024,BA-1265605-2022,RANIA FOOD CORP.,C-TOWN SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,4,Confiscated,Complete Address,7924,FLATLANDS AVE,,,,BROOKLYN,NY,11236,Brooklyn,318,46,3224863,3080160038,BK50,40.63516531,-73.91379225
A0154772,INS-000717591,02/16/2024,2024,BA-1282904-2022,KAMLIN III LLC,,Grocery-Retail - 808,Scale,Scale,,No Fee Scale,1,0,4,Confiscated,Complete Address,6930,4TH AVE,,,,BROOKLYN,NY,11209,Brooklyn,310,47,3145708,3058720054,BK31,40.6342949,-74.02366386
A0155485,INS-000731779,02/23/2024,2024,BA-1314764-2022,GOLDEN BOYS GROUP INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,4,Confiscated,Complete Address,416,CRESCENT ST,,,,BROOKLYN,NY,11208,Brooklyn,305,37,3093424,3041660018,BK83,40.67854477,-73.87079711
A0163731,INS-000733118,04/16/2024,2024,BA-1521923-2022,VALYRIAN GROUP INC,,Retail Laundry,Scale,Scale,Laundry Scales,Computing Scale - 02,1,0,4,Confiscated,Complete Address,1968,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2008259,2028540003,BX41,40.85196123,-73.90905435
A0164393,INS-000735488,04/18/2024,2024,BA-1108214-2022,242 BAY RIDGE MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,23,22,4,Confiscated,Complete Address,242,BAY RIDGE AVE,,,,BROOKLYN,NY,11220,Brooklyn,310,47,3145616,3058710032,BK31,40.63609744,-74.02722786
A0166788,INS-000739509,05/01/2024,2024,BA-1126555-2022,138-37 FOOD CORP,KEY FOOD SUPERMARKETS,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,4,Confiscated,Complete Address,13837,QUEENS BLVD,,,,JAMAICA,NY,11435,Queens,408,24,4206512,4096490025,QN35,40.70811409,-73.81793844
A0166954,INS-000739789,05/02/2024,2024,BA-1690979-2024,JOE BAKERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,8517,18TH AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,38,3165753,3063440001,BK28,40.6076646,-74.00212486
