,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
4079,A0207803,INS-000820719,01/16/2025,2025,BA-1708856-2024,BA-1708856,YUM DELI AND GROCERY 1 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,2909,SURF AVE,,,,BROOKLYN,NY,11224,Brooklyn,313.0,47.0,3189522.0,3070510048.0,BK21,40.57286869,-73.99506856
4100,A0202625,INS-000810921,12/06/2024,2024,BA-1716203-2024,BA-1716203,YDHNY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,1525,ALBANY AVE,,,,BROOKLYN,NY,11210,Brooklyn,317.0,45.0,3114503.0,3050160013.0,BK91,40.63600402,-73.93740159
4231,A0204578,INS-000814634,12/19/2024,2024,BA-1597771-2023,BA-1597771,VICTOR’S BAKERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,2031,GRAND CONCOURSE,,,,BRONX,NY,10453,Bronx,205.0,14.0,2007693.0,2028080082.0,BX41,40.85198456,-73.90397567
4279,A0142377,INS-000687867,11/09/2023,2023,BA-1666365-2023,BA-1666365,Urban Deli & Convenience Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,17902,UNION TPKE,,,,FRESH MEADOWS,NY,11366,Queens,408.0,24.0,4155489.0,4072290007.0,QN06,40.72665212,-73.78892715
4387,A0213473,INS-000832340,02/26/2025,2025,BA-1720823-2025,BA-1720823,TINGO FOOD MARKET CORPORATION,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,4,1,Confiscated,Complete Address,82,E BURNSIDE AVE,,,,BRONX,NY,10453,Bronx,205.0,14.0,2007948.0,2028290045.0,BX41,40.85326795,-73.90593302
4440,A0192868,INS-000791742,10/08/2024,2024,BA-1484729-2022,BA-1484729,"TERRY-RAM, LTD.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,41,RIVER TER,,,,NEW YORK,NY,10282,Manhattan,101.0,1.0,1085486.0,1000160210.0,MN25,40.71792969,-74.01452348
4614,A0149465,INS-000701292,01/09/2024,2024,BA-1520854-2022,BA-1520854,SOUTH ROAD GUY_R INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,3,Confiscated,Complete Address,16224,TUSKEGEE AIRMEN WAY,,,,JAMAICA,NY,11433,Queens,412.0,28.0,4215802.0,4101290011.0,QN01,40.69949668,-73.79419918
4685,A0213715,INS-000832702,02/27/2025,2025,BA-1721260-2025,BA-1721260,SILVER MOON DELI INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,3840,BROADWAY,,,,NEW YORK,NY,10032,Manhattan,112.0,10.0,1062822.0,1021190001.0,MN36,40.83606664,-73.94340023
4753,A0177190,INS-000760345,07/09/2024,2024,BA-1534786-2022,BA-1534786,SAYYAF FOOD CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,890,ROCKAWAY AVE,,,,BROOKLYN,NY,11212,Brooklyn,316.0,42.0,3082837.0,3036250033.0,BK81,40.65768977,-73.90768291
5091,A0207014,INS-000819327,01/10/2025,2025,BA-1412248-2022,BA-1412248,"PREMIER FOOD, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,738,LYDIG AVE,,,,BRONX,NY,10462,Bronx,211.0,13.0,2048796.0,2042880035.0,BX49,40.85446105,-73.8661682
5662,A0171842,INS-000749613,05/31/2024,2024,BA-1429125-2022,BA-1429125,MERRICK MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,8,7,4,Confiscated,Complete Address,10830,MERRICK BLVD,,,,JAMAICA,NY,11433,Queens,412.0,27.0,4216668.0,4101780125.0,QN01,40.6977117,-73.7861878
5751,A0213881,INS-000832954,02/28/2025,2025,BA-1596402-2023,BA-1596402,MANHATTAN BEST DELI & GRILL INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,57,AUDUBON AVE,,,,NEW YORK,NY,10032,Manhattan,112.0,10.0,1062995.0,1021250026.0,MN36,40.84057083,-73.93828971
5820,A0194389,INS-000794929,10/17/2024,2024,BA-1451804-2022,BA-1451804,M & A FRUITS & DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,1976,ARTHUR AVENUE,,STE,76,BRONX,NY,10457,Bronx,206.0,15.0,2011976.0,2030680055.0,BX17,40.84680125,-73.89312546
