,Record ID,Related Record Type,Business Unique ID,Business Name,DBA/Trade Name,Business Category,Certificate of Inspection,Inspection Number,NOH Number,Violation Date,Charge,Charge Count,Cure Eligible,Cured,Outcome,Guilty,Not Guilty,Dismissed
16,10172-2023-ADJC,dcwp_InspectionRequest,BA-1539291-2022,THE STOP & SHOP SUPERMARKET COMPANY LLC,STOP & SHOP #508,Supermarket,A0132380,INS-000661276,23Q01108,08/22/2023,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
20,39278-2025-ADJC,dcwp_InspectionRequest,BA-1695809-2024,KAMAL CORPORATION,,Supermarket,A0217500,INS-000839311,25Q00677,03/21/2025,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,,,Pleaded,1.0,,
24,39355-2025-ADJC,dcwp_InspectionRequest,BA-1116900-2022,ALMONTE PLAZA FOOD CORP,,Supermarket,A0217195,INS-000838783,25N00593,03/20/2025,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Pleaded,1.0,,
26,39532-2025-ADJC,dcwp_InspectionRequest,BA-1343477-2022,"J & B MEAT MARKET, INC.",SHOP FAIR SUPERMARKET,Supermarket,A0217242,INS-000838863,25M00900,03/20/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
28,39352-2025-ADJC,dcwp_InspectionRequest,BA-1566491-2022,THYAGO INC,,Supermarket,A0217111,INS-000838644,25N00586,03/19/2025,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,,,Pleaded,1.0,,
33,38983-2025-ADJC,dcwp_InspectionRequest,BA-1408926-2022,PS MEAT CORP.,,Supermarket,A0216643,INS-000837854,25M00861,03/18/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
36,38976-2025-ADJC,dcwp_InspectionRequest,BA-1337449-2022,"JUNCALITO MEAT & PRODUCE, INC.",,Supermarket,A0216682,INS-000837918,25M00864,03/18/2025,1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED,1.0,,,Pleaded,1.0,,
44,39302-2025-ADJC,dcwp_InspectionRequest,BA-1722608-2025,"Moisha's Kosher Discount Supermarket, Inc.",,Supermarket,A0216334,INS-000837215,25N00550,03/14/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
47,38811-2025-ADJC,dcwp_InspectionRequest,BA-1574937-2023,NEW RENAISSANCE INC,FRESH MARKET,Supermarket,A0216034,INS-000836715,25X00388,03/13/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
57,10968-2023-ADJC,dcwp_InspectionRequest,BA-1090902-2022,7TH AVE GOURMET INC.,,Supermarket,A0134551,INS-000664869,23N01069,09/08/2023,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Default Decision,1.0,,
