,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
2105,A0164490,INS-000731602,04/18/2024,2024,BA-1559348-2022,BA-1559348,"WESTERN BEEF RETAIL, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,0,3,Confiscated,Complete Address,1564,SOUTHERN BLVD,,,,BRONX,NY,10460,Bronx,203.0,17.0,2010592.0,2029820020.0,BX75,40.83466881,-73.8893505
2120,A0169322,INS-000744460,05/15/2024,2024,BA-1504165-2022,BA-1504165,WESTERN BEEF RETAIL,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,2,Confiscated,Complete Address,431,W 16TH ST,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1012543.0,1007140016.0,MN13,40.74288577,-74.00582817
2121,A0169322,INS-000744460,05/15/2024,2024,BA-1504165-2022,BA-1504165,WESTERN BEEF RETAIL,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,5,4,2,Confiscated,Complete Address,431,W 16TH ST,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1012543.0,1007140016.0,MN13,40.74288577,-74.00582817
2236,A0183847,INS-000763300,08/20/2024,2024,BA-1515506-2022,BA-1515506,"THE STOP & SHOP SUPERMARKET COMPANY, LLC",STOP & SHOP #2595,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,4,Confiscated,Complete Address,1441,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,502.0,50.0,5151774.0,5015440120.0,SI05,40.61329749,-74.15847427
2320,A0146939,INS-000738275,12/14/2023,2023,BA-1547869-2022,BA-1547869,TEJADA MEAT CORP.,,Supermarket - 819,Scale,Scale,,Computing Scale - 01,6,5,2,Confiscated,Complete Address,649,JACKSON AVE,,,,BRONX,NY,10455,Bronx,201.0,8.0,2004428.0,2026230191.0,BX34,40.81576052,-73.90818619
2321,A0146939,INS-000738275,12/14/2023,2023,BA-1547869-2022,BA-1547869,TEJADA MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,5,1,Confiscated,Complete Address,649,JACKSON AVE,,,,BRONX,NY,10455,Bronx,201.0,8.0,2004428.0,2026230191.0,BX34,40.81576052,-73.90818619
2346,A0208801,INS-000822706,01/24/2025,2025,BA-1681549-2023,BA-1681549,SWF FOOD CORP.,Met Food,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,17,1,Confiscated,Complete Address,7610,37TH AVE,,,,JACKSON HEIGHTS,NY,11372,Queens,403.0,25.0,4029863.0,4012870001.0,QN28,40.74917622,-73.88969822
2486,A0167082,INS-000740015,05/02/2024,2024,BA-1617911-2023,BA-1617911,RED &  WHITE MARKETS INC,MORTON WILLIAMS,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,13,3,Confiscated,Complete Address,15,E KINGSBRIDGE RD,,,,BRONX,NY,10468,Bronx,207.0,14.0,2017485.0,2033170006.0,BX28,40.86731592,-73.89697918
2489,A0154385,INS-000716863,02/14/2024,2024,BA-1265605-2022,BA-1265605,RANIA FOOD CORP.,C-TOWN SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,4,Confiscated,Complete Address,7924,FLATLANDS AVE,,,,BROOKLYN,NY,11236,Brooklyn,318.0,46.0,3224863.0,3080160038.0,BK50,40.63516531,-73.91379225
2497,A0217374,INS-000839092,03/20/2025,2025,BA-1692104-2024,BA-1692104,"RALPH AVENUE MEAT, CORP.",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,4,1,1,Confiscated,Complete Address,1804,RALPH AVE,,,,BROOKLYN,NY,11236,Brooklyn,318.0,46.0,3223371.0,3079790146.0,BK58,40.6328413,-73.91869149
2509,A0177017,INS-000759988,07/09/2024,2024,BA-1451784-2022,BA-1451784,R.J. CASTLE HILL FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,4,Confiscated,Complete Address,1345,CASTLE HILL AVE,,,,BRONX,NY,10462,Bronx,209.0,18.0,2029044.0,2039350064.0,BX46,40.83525271,-73.85198658
2549,A0137568,INS-000679595,09/29/2023,2023,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,13,3,Confiscated,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301.0,33.0,3065333.0,3025970011.0,BK76,40.72780217,-73.95307131
2598,A0203747,INS-000812984,12/13/2024,2024,BA-1445937-2022,BA-1445937,ORCHARD SUPERMARKET CORP,ORCHARD FINE FOODS,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,8,1,Confiscated,Complete Address,11044,QUEENS BLVD,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4078798.0,4032920015.0,QN17,40.71943534,-73.83945878
2616,A0157584,INS-000710522,03/08/2024,2024,BA-1453747-2022,BA-1453747,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,6,Confiscated,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503.0,51.0,5141719.0,5080080134.0,SI11,40.5180131,-74.23445767
2637,A0202056,INS-000809972,12/04/2024,2024,BA-1392192-2022,BA-1392192,"NEW YORK MART MOTT ST., INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,16,15,2,Confiscated,Complete Address,128,MOTT ST,,,,NEW YORK,NY,10013,Manhattan,102.0,1.0,1087662.0,1002387501.0,MN24,40.71836149,-73.99679298
2658,A0135290,INS-000666076,09/13/2023,2023,BA-1402553-2022,BA-1402553,"NAMDOR, INC.",GRISTEDES #517,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,2,Confiscated,Complete Address,355,1ST AVE,,,,NEW YORK,NY,10010,Manhattan,106.0,2.0,1020541.0,1009260038.0,MN21,40.73538269,-73.97948282
2659,A0150670,INS-000704771,01/19/2024,2024,BA-1402553-2022,BA-1402553,"NAMDOR, INC.",GRISTEDES #517,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,2,Confiscated,Complete Address,355,1ST AVE,,,,NEW YORK,NY,10010,Manhattan,106.0,2.0,1020541.0,1009260038.0,MN21,40.73538269,-73.97948282
2660,A0152549,INS-000710713,01/31/2024,2024,BA-1402553-2022,BA-1402553,"NAMDOR, INC.",GRISTEDES #517,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,2,1,Confiscated,Complete Address,355,1ST AVE,,,,NEW YORK,NY,10010,Manhattan,106.0,2.0,1020541.0,1009260038.0,MN21,40.73538269,-73.97948282
2661,A0160937,INS-000729398,03/28/2024,2024,BA-1468736-2022,BA-1468736,"NAMDOR, INC.",GRISTEDE'S STORE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,2,Confiscated,Complete Address,25,WATERSIDE PLZ,,,,NEW YORK,NY,10010,Manhattan,106.0,4.0,1083708.0,1009910060.0,MN20,40.7373688,-73.97407672
2740,A0130396,INS-000657729,08/07/2023,2023,BA-1429125-2022,BA-1429125,MERRICK MEAT MARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,3,Confiscated,Complete Address,10830,MERRICK BLVD,,,,JAMAICA,NY,11433,Queens,412.0,27.0,4216668.0,4101780125.0,QN01,40.6977117,-73.7861878
2771,A0214102,INS-000833295,02/28/2025,2025,BA-1708496-2024,BA-1708496,Markella Corp.,Euro Market,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,1,1,Confiscated,Complete Address,3042,31ST ST,,,,ASTORIA,NY,11102,Queens,401.0,22.0,4007661.0,4005930043.0,QN70,40.76592374,-73.92218597
2786,A0144985,INS-000694233,11/30/2023,2023,BA-1460189-2022,BA-1460189,"MANNIX FAMILY MARKET @ FOREST AND RICHMOND AVE, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,53,52,3,Confiscated,Complete Address,985,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,501.0,49.0,5150291.0,5014790001.0,SI12,40.62290814,-74.14944093
2787,A0169040,INS-000743890,05/14/2024,2024,BA-1460189-2022,BA-1460189,"MANNIX FAMILY MARKET @ FOREST AND RICHMOND AVE, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,54,52,4,Confiscated,Complete Address,985,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,501.0,49.0,5150291.0,5014790001.0,SI12,40.62290814,-74.14944093
2886,A0184091,INS-000769692,08/21/2024,2024,BA-1322704-2022,BA-1322704,KINGDOM CASTLE FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,4,Confiscated,Complete Address,300,SAND LN,,,,STATEN ISLAND,NY,10305,Staten Island,502.0,50.0,5050354.0,5034050030.0,SI36,40.59225439,-74.06805197
