,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
7,A0200942,INS-000804414,11/26/2024,2024,BA-1714440-2024,BA-1714440,WING Y MEATS INC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Platform Scale - 01,1,1,0,,Complete Address,14,VARICK ST,,,,BROOKLYN,NY,11222,Brooklyn,301.0,33.0,3066690.0,3026640001.0,BK76,40.72624856,-73.93583037
14,A0200942,INS-000804414,11/26/2024,2024,BA-1714440-2024,BA-1714440,WING Y MEATS INC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Platform Scale - 02,1,1,0,,Complete Address,14,VARICK ST,,,,BROOKLYN,NY,11222,Brooklyn,301.0,33.0,3066690.0,3026640001.0,BK76,40.72624856,-73.93583037
77,A0191624,INS-000789240,10/02/2024,2024,BA-1710607-2024,BA-1710607,WILLOW WISP ORGANIC FARM,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
91,A0185672,INS-000778385,08/29/2024,2024,BA-1707588-2024,BA-1707588,"WFM PRIVATE LABEL MANAGEMENT, INC.",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,4346,10TH ST,,,,LONG ISLAND CITY,NY,11101,Queens,402.0,26.0,4005259.0,4004540039.0,QN31,40.75114214,-73.94975243
116,A0196906,INS-000793824,10/31/2024,2024,BA-1711597-2024,BA-1711597,W.E.A.M. CORPORATION,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,3822,E TREMONT AVE,,,,BRONX,NY,10465,Bronx,210.0,13.0,2080400.0,2055620148.0,BX52,40.82463513,-73.82036568
118,A0149537,INS-000699233,01/09/2024,2024,BA-1477512-2022,BA-1477512,victor provision inc.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,340B,STAGG ST,,,,BROOKLYN,NY,11206,Brooklyn,301.0,34.0,3070908.0,3030390001.0,BK78,40.71033394,-73.93494033
142,A0216745,INS-000830933,03/18/2025,2025,BA-1529433-2022,BA-1529433,victor provision inc.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,340,STAGG ST,,,,BROOKLYN,NY,11206,Brooklyn,301.0,34.0,3070908.0,3030390001.0,BK78,40.71033394,-73.93494033
154,A0191672,INS-000789328,10/02/2024,2024,BA-1710621-2024,BA-1710621,"VAN HOUTEN, JAMES B",VanHouten Farms,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
220,A0178583,INS-000746538,07/17/2024,2024,BA-1696569-2024,BA-1696569,Twin Marquis Inc.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,20,20,0,,Complete Address,7,BUSHWICK PL,,,,BROOKLYN,NY,11206,Brooklyn,301.0,34.0,3325825.0,3030560074.0,BK78,40.70827471,-73.93874762
251,A0178583,INS-000746538,07/17/2024,2024,BA-1696569-2024,BA-1696569,Twin Marquis Inc.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Platform Scale - 02,3,3,0,,Complete Address,7,BUSHWICK PL,,,,BROOKLYN,NY,11206,Brooklyn,301.0,34.0,3325825.0,3030560074.0,BK78,40.70827471,-73.93874762
