Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
A0128853,INS-000654577,07/19/2023,2023,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH STREET,,,,BROOKLYN,NY,11201,Brooklyn,306.0,33.0,3336058.0,3003970007.0,,40.68523738,-73.99146181,POINT (-73.99146181 40.68523738),313.0,36,047,006902,36047006902,1400000US36047006902,69.02,Census Tract 69.02,G5020,S,104645.0,0.0,+40.6845526,-073.9920877
A0157558,INS-000723282,03/08/2024,2024,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH ST,,,,BROOKLYN,NY,11201,Brooklyn,306.0,39.0,3336058.0,3003970007.0,BK38,40.68523738,-73.99146181,POINT (-73.99146181 40.68523738),313.0,36,047,006902,36047006902,1400000US36047006902,69.02,Census Tract 69.02,G5020,S,104645.0,0.0,+40.6845526,-073.9920877
A0170520,INS-000746883,05/22/2024,2024,BA-1514341-2022,BA-1514341,ZUNO 975 CORP.,MR MELON,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,975,FULTON STREET,,,,BROOKLYN,NY,11238,Brooklyn,302.0,35.0,3056674.0,3019790054.0,BK69,40.68288804,-73.96402045,POINT (-73.96402045 40.68288804),3474.0,36,047,020100,36047020100,1400000US36047020100,201,Census Tract 201,G5020,S,175379.0,0.0,+40.6838477,-073.9633875
A0133608,INS-000663310,08/30/2023,2023,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306.0,39.0,3025854.0,3010900002.0,BK37,40.6673073,-73.98121959,POINT (-73.98121959 40.6673073),2827.0,36,047,015300,36047015300,1400000US36047015300,153,Census Tract 153,G5020,S,150477.0,0.0,+40.6681002,-073.9805759
A0168263,INS-000742388,05/09/2024,2024,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306.0,39.0,3025854.0,3010900002.0,BK37,40.6673073,-73.98121959,POINT (-73.98121959 40.6673073),2827.0,36,047,015300,36047015300,1400000US36047015300,153,Census Tract 153,G5020,S,150477.0,0.0,+40.6681002,-073.9805759
A0158640,INS-000725195,03/15/2024,2024,BA-1560087-2022,BA-1560087,ZUDY 59 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,59,LAFAYETTE AVENUE,,,,BROOKLYN,NY,11217,Brooklyn,302.0,35.0,3058771.0,3020980090.0,BK68,40.68705498,-73.9759929,POINT (-73.9759929 40.68705498),2645.0,36,047,003300,36047003300,1400000US36047003300,33,Census Tract 33,G5020,S,164585.0,0.0,+40.6885112,-073.9781063
A0162718,INS-000732517,04/09/2024,2024,BA-1691223-2024,BA-1691223,ZUCKER’S FULTON LLC,ZUCKER’S BAGELS FULTON ST.,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,125,FULTON ST,,,,NEW YORK,NY,10038,Manhattan,101.0,1.0,1079214.0,1000910011.0,MN25,40.71003644,-74.00735827,POINT (-74.00735827 40.71003644),4283.0,36,061,001501,36061001501,1400000US36061001501,15.01,Census Tract 15.01,G5020,S,270812.0,166085.0,+40.7075653,-074.0013991
A0185306,INS-000777758,08/28/2024,2024,BA-1550970-2022,BA-1550970,ZOON 410 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,410,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304.0,37.0,3074783.0,3032780026.0,BK77,40.69974896,-73.92002361,POINT (-73.92002361 40.69974896),2418.0,36,047,043100,36047043100,1400000US36047043100,431,Census Tract 431,G5020,S,168207.0,0.0,+40.6996605,-073.9196980
A0171798,INS-000749532,05/31/2024,2024,BA-1512322-2022,BA-1512322,"ZOA 73 MARKETPLACE, INC.",DAONA MARKETPLACE,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1359,1ST AVE,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1044884.0,1014470030.0,MN31,40.76838702,-73.95558787,POINT (-73.95558787 40.76838702),3834.0,36,061,012601,36061012601,1400000US36061012601,126.01,Census Tract 126.01,G5020,S,94351.0,0.0,+40.7679933,-073.9574068
A0163521,INS-000733877,04/12/2024,2024,BA-1557531-2022,BA-1557531,ZNN DELI GROCERY LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3433,3 AVENUE,,,,BRONX,NY,10456,Bronx,203.0,16.0,2001298.0,2023710035.0,BX35,40.82896148,-73.90677318,POINT (-73.90677318 40.82896148),4537.0,36,005,018501,36005018501,1400000US36005018501,185.01,Census Tract 185.01,G5020,S,184081.0,0.0,+40.8271796,-073.9093252
