Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0128853,INS-000654577,07/19/2023,2023,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH STREET,,,,BROOKLYN,NY,11201,Brooklyn,306,33,3336058,3003970007,,40.68523738,-73.99146181
A0157558,INS-000723282,03/08/2024,2024,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH ST,,,,BROOKLYN,NY,11201,Brooklyn,306,39,3336058,3003970007,BK38,40.68523738,-73.99146181
A0170520,INS-000746883,05/22/2024,2024,BA-1514341-2022,BA-1514341,ZUNO 975 CORP.,MR MELON,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,975,FULTON STREET,,,,BROOKLYN,NY,11238,Brooklyn,302,35,3056674,3019790054,BK69,40.68288804,-73.96402045
A0133608,INS-000663310,08/30/2023,2023,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306,39,3025854,3010900002,BK37,40.6673073,-73.98121959
A0168263,INS-000742388,05/09/2024,2024,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306,39,3025854,3010900002,BK37,40.6673073,-73.98121959
A0158640,INS-000725195,03/15/2024,2024,BA-1560087-2022,BA-1560087,ZUDY 59 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,59,LAFAYETTE AVENUE,,,,BROOKLYN,NY,11217,Brooklyn,302,35,3058771,3020980090,BK68,40.68705498,-73.9759929
A0162718,INS-000732517,04/09/2024,2024,BA-1691223-2024,BA-1691223,ZUCKER’S FULTON LLC,ZUCKER’S BAGELS FULTON ST.,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,125,FULTON ST,,,,NEW YORK,NY,10038,Manhattan,101,1,1079214,1000910011,MN25,40.71003644,-74.00735827
A0185306,INS-000777758,08/28/2024,2024,BA-1550970-2022,BA-1550970,ZOON 410 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,410,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3074783,3032780026,BK77,40.69974896,-73.92002361
A0171798,INS-000749532,05/31/2024,2024,BA-1512322-2022,BA-1512322,"ZOA 73 MARKETPLACE, INC.",DAONA MARKETPLACE,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1359,1ST AVE,,,,NEW YORK,NY,10021,Manhattan,108,5,1044884,1014470030,MN31,40.76838702,-73.95558787
A0163521,INS-000733877,04/12/2024,2024,BA-1557531-2022,BA-1557531,ZNN DELI GROCERY LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3433,3 AVENUE,,,,BRONX,NY,10456,Bronx,203,16,2001298,2023710035,BX35,40.82896148,-73.90677318
