Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0197014,INS-000800316,10/31/2024,2024,BA-1583045-2023,BA-1583045,"WESTERN BEEF RETAIL,INC.",11-2778081,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,425,BAY ST,,,,STATEN ISLAND,NY,10304,Staten Island,501,49,5013177,5004880053,SI37,40.63179639,-74.0760472
A0176007,INS-000758069,06/26/2024,2024,BA-1694123-2024,BA-1694123,21ST STREET MARKETPLACE INC.,21ST MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,2816,21ST ST,,,,ASTORIA,NY,11102,Queens,401,22,4617126,4005380046,QN71,40.77077144,-73.92711918
A0167107,INS-000740049,05/02/2024,2024,BA-1326491-2022,BA-1326491,"GOOD HARVEST COOPERATIVE, INC.",4TH STREET FOOD CO-OP,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,58,E 4TH ST,,FRNT,A,NEW YORK,NY,10003,Manhattan,103,2,1077962,1004590015,MN22,40.72677385,-73.99082872
A0207948,INS-000821028,01/16/2025,2025,BA-1666727-2023,BA-1666727,"Castle Hill Supermarket, Inc","ADI'S SUPERMARKET, INC",Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,1375,CASTLE HILL AVENUE,,,,BRONX,NY,10462,Bronx,209,18,2029042,2039350056,BX46,40.83577162,-73.8521083
A0135108,INS-000665773,09/12/2023,2023,BA-1666727-2023,BA-1666727,"Castle Hill Supermarket, Inc","ADI'S SUPERMARKET, INC",Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,1375,CASTLE HILL AVENUE,,,,BRONX,NY,10462,Bronx,209,18,2029042,2039350056,BX46,40.83577162,-73.8521083
A0201852,INS-000809594,12/03/2024,2024,BA-1108764-2022,BA-1108764,ALDI INC,ALDI #7,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,13,0,,Complete Address,528,GATEWAY DRIVE,,,,BROOKLYN,NY,11239,Brooklyn,305,42,3397156,3044520555,,40.65260212,-73.87673251
A0133152,INS-000662506,08/28/2023,2023,BA-1108764-2022,BA-1108764,ALDI INC,ALDI #7,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,12,0,,Complete Address,528,GATEWAY DRIVE,,,,BROOKLYN,NY,11239,Brooklyn,305,42,3397156,3044520555,,40.65260212,-73.87673251
A0165754,INS-000737757,04/25/2024,2024,BA-1220598-2022,BA-1220598,"Fresh Bagels Farmer's Market, Inc.",Amish Market,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,240,E 45TH ST,,,,NEW YORK,NY,10017,Manhattan,106,4,1037577,1013180031,MN19,40.75227232,-73.97207498
A0157348,INS-000717933,03/07/2024,2024,BA-1220598-2022,BA-1220598,"Fresh Bagels Farmer's Market, Inc.",Amish Market,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,240,E 45TH ST,,,,NEW YORK,NY,10017,Manhattan,106,4,1037577,1013180031,MN19,40.75227232,-73.97207498
A0212055,INS-000829771,02/14/2025,2025,BA-1220598-2022,BA-1220598,"Fresh Bagels Farmer's Market, Inc.",Amish Market,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,15,15,0,,Complete Address,240,E 45TH ST,,,,NEW YORK,NY,10017,Manhattan,106,4,1037577,1013180031,MN19,40.75227232,-73.97207498
A0172826,INS-000751629,06/07/2024,2024,BA-1676509-2023,BA-1676509,1850  FOOD  CORP.,ANTILLANA  SUPERFOOD  MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,15,15,0,,Complete Address,1850,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2000000,2028517501,BX41,40.84891374,-73.91147302
A0172826,INS-000751629,06/07/2024,2024,BA-1676509-2023,BA-1676509,1850  FOOD  CORP.,ANTILLANA  SUPERFOOD  MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,1850,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2000000,2028517501,BX41,40.84891374,-73.91147302
A0179819,INS-000766261,07/25/2024,2024,BA-1699429-2024,BA-1699429,DTJ 1727 CORP,ANTILLANA MARKET PLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,11,11,0,,Complete Address,1725,UNIVERSITY AVE,,,,BRONX,NY,10453,Bronx,205,14,2009022,2028780215,BX36,40.84965866,-73.91663363
A0145380,INS-000693804,12/04/2023,2023,BA-1104444-2022,BA-1104444,"ANTILLANA & METRO SUPERMARKET, CORP.",ANTILLANA SUPERFOOD MARKET PLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,13,0,,Complete Address,1339,JEROME AVE,,,,BRONX,NY,10452,Bronx,204,16,2008294,2028560049,BX26,40.83889811,-73.91866372
A0167373,INS-000740552,05/03/2024,2024,BA-1684513-2024,BA-1684513,1272-1278 FOOD AND MEAT CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,1272,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10033,Manhattan,112,10,1063119,1021300008,MN36,40.84459122,-73.93717639
A0167373,INS-000740552,05/03/2024,2024,BA-1684513-2024,BA-1684513,1272-1278 FOOD AND MEAT CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,1272,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10033,Manhattan,112,10,1063119,1021300008,MN36,40.84459122,-73.93717639
A0163290,INS-000733513,04/11/2024,2024,BA-1104438-2022,BA-1104438,2185 ANTILLANA MEAT AND FOOD CORP,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,2185,WHITE PLAINS RD,,,,BRONX,NY,10462,Bronx,211,13,2049378,2043170050,BX49,40.85590648,-73.86765463
A0132884,INS-000662505,08/24/2023,2023,BA-1600499-2023,BA-1600499,2285 GROCERY AND FOOD CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,11,3,Confiscated,Complete Address,2285,GRAND CONCOURSE,,,,BRONX,NY,10453,Bronx,205,14,2013769,2031630026,BX40,40.85707825,-73.9001726
A0199759,INS-000803945,11/20/2024,2024,BA-1709627-2024,BA-1709627,2750 FOOD CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,13,0,,Complete Address,2750,E TREMONT AVE,,,,BRONX,NY,10461,Bronx,210,18,2041970,2039880045,BX37,40.84211547,-73.8443888
A0159392,INS-000726573,03/20/2024,2024,BA-1122415-2022,BA-1122415,124 MEAT FOOD CORP,ANTILLANA SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,124,W FORDHAM RD,,,,BRONX,NY,10468,Bronx,207,14,2014950,2032250116,BX30,40.86277881,-73.90650524
A0189870,INS-000786134,09/24/2024,2024,BA-1682058-2023,BA-1682058,113 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,11318,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,28,4202599,4095360004,QN55,40.68546231,-73.82922474
A0157706,INS-000723536,03/11/2024,2024,BA-1682058-2023,BA-1682058,113 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,11318,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,28,4202599,4095360004,QN55,40.68546231,-73.82922474
A0157706,INS-000723536,03/11/2024,2024,BA-1682058-2023,BA-1682058,113 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,11318,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,28,4202599,4095360004,QN55,40.68546231,-73.82922474
A0189769,INS-000785948,09/24/2024,2024,BA-1693253-2024,BA-1693253,124 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,12416,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,28,4537947,4095780007,QN55,40.68786631,-73.81994086
A0206505,INS-000818330,01/07/2025,2025,BA-1693253-2024,BA-1693253,124 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,12416,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,28,4537947,4095780007,QN55,40.68786631,-73.81994086
A0141616,INS-000686569,11/01/2023,2023,BA-1274697-2022,BA-1274697,LA JOYA FOOD MARKET CORP,ASSOCIATED,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,103,HEGEMAN AVE,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3082814,3036250004,BK81,40.65615308,-73.90817159
A0203743,INS-000812974,12/13/2024,2024,BA-1274697-2022,BA-1274697,LA JOYA FOOD MARKET CORP,ASSOCIATED,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,103,HEGEMAN AVE,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3082814,3036250004,BK81,40.65615308,-73.90817159
A0161799,INS-000730923,04/03/2024,2024,BA-1433425-2022,BA-1433425,MP LORRAINE CORP.,ASSOCIATED,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,58,LORRAINE ST,,,,BROOKLYN,NY,11231,Brooklyn,306,38,3008668,3005800005,BK33,40.67452736,-74.0073904
A0207840,INS-000820807,01/16/2025,2025,BA-1433425-2022,BA-1433425,MP LORRAINE CORP.,ASSOCIATED,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,58,LORRAINE ST,,,,BROOKLYN,NY,11231,Brooklyn,306,38,3008668,3005800005,BK33,40.67452736,-74.0073904
A0209369,INS-000823756,01/29/2025,2025,BA-1555929-2022,BA-1555929,WEST EAST FOOD CORP.,ASSOCIATED,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,35,RICHMAN PLZ,,,,BRONX,NY,10453,Bronx,205,16,2119731,2028820229,BX36,40.85196557,-73.92251546
A0139275,INS-000682580,10/16/2023,2023,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0137568,INS-000679595,09/29/2023,2023,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,13,3,Confiscated,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0207400,INS-000820051,01/14/2025,2025,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0207400,INS-000820051,01/14/2025,2025,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,7,7,0,,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0207400,INS-000820051,01/14/2025,2025,BA-1427902-2022,BA-1427902,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0150256,INS-000703512,01/16/2024,2024,BA-1127519-2022,BA-1127519,"ASSOCIATED SUPERMARKET GROUP, LLC",ASSOCIATED FRESH,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,597,LIVONIA AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,42,3421640,3038047501,BK85,40.6645822,-73.89520887
A0205120,INS-000815600,12/24/2024,2024,BA-1517256-2022,BA-1517256,SKYLIGHT HOLDINGS 2 INC,Associated Fresh Market,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,617,5TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,307,39,3016450,3008670001,BK37,40.66367165,-73.9910032
A0198662,INS-000803456,11/13/2024,2024,BA-1272278-2022,BA-1272278,C & E FAMILY FOOD CORP.,ASSOCIATED FRESH MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,10,0,,Complete Address,7063,PARSONS BLVD,,,,FRESH MEADOWS,NY,11365,Queens,408,24,4146991,4067890065,QN38,40.73046706,-73.81087764
A0142888,INS-000688679,11/15/2023,2023,BA-1272278-2022,BA-1272278,C & E FAMILY FOOD CORP.,ASSOCIATED FRESH MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,7063,PARSONS BLVD,,,,FRESH MEADOWS,NY,11365,Queens,408,24,4146991,4067890065,QN38,40.73046706,-73.81087764
A0141948,INS-000686825,11/03/2023,2023,BA-1072898-2022,BA-1072898,1757 TJM FOOD CORP.,ASSOCIATED SUPERMARKET,Supermarket - 819,Scale - Condemned Follow-up,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1757,RANDALL AVE,,,,BRONX,NY,10473,Bronx,209,18,2021683,2035550001,BX09,40.81674178,-73.86496513
