,NAME_x,B19013_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract_x,tract_clean,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude,geometry,index_right,STATEFP,COUNTYFP,tract_y,GEOID,GEOIDFQ,NAME_y,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,Census Tract 1; Bronx County; New York,-666666666,1393,1610,10,79,0,240,206,36,Bronx,000100,000100,A0205233,INS-000815808,12/26/2024,2024,BA-1336193-2022,BA-1336193,"GRISTEDE'S FOODS, INC.",GRISTEDE'S #508,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,101,CLARK ST,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3001727,3002320001,BK09,40.69728424,-73.99230414,POINT (-73.99230414 40.69728424),2812.0,36,047,000100,36047000100,1400000US36047000100,1,Census Tract 1,G5020,S,207819.0,0.0,+40.7002150,-073.9938089
1,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0192156,INS-000790311,10/04/2024,2024,BA-1089705-2022,BA-1089705,74-39 MEAT CORP.,C - TOWN,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,7439,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4180778,4088350001,QN53,40.69133944,-73.86710142,POINT (-73.86710142 40.69133944),2112.0,36,081,000200,36081000200,1400000US36081000200,2,Census Tract 2,G5020,S,156595.0,0.0,+40.6932923,-073.8661578
2,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0192156,INS-000790311,10/04/2024,2024,BA-1089705-2022,BA-1089705,74-39 MEAT CORP.,C - TOWN,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,7439,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4180778,4088350001,QN53,40.69133944,-73.86710142,POINT (-73.86710142 40.69133944),2112.0,36,081,000200,36081000200,1400000US36081000200,2,Census Tract 2,G5020,S,156595.0,0.0,+40.6932923,-073.8661578
3,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0192156,INS-000790311,10/04/2024,2024,BA-1089705-2022,BA-1089705,74-39 MEAT CORP.,C - TOWN,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,7439,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4180778,4088350001,QN53,40.69133944,-73.86710142,POINT (-73.86710142 40.69133944),2112.0,36,081,000200,36081000200,1400000US36081000200,2,Census Tract 2,G5020,S,156595.0,0.0,+40.6932923,-073.8661578
4,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0210768,INS-000827683,02/06/2025,2025,BA-1114401-2022,BA-1114401,4118 MEAT & PRODUCE CORP.,FOOD UNIVERSE,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,4118,3 AVENUE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010664,3007170045,BK32,40.65257446,-74.00951427,POINT (-74.00951427 40.65257446),2818.0,36,047,000200,36047000200,1400000US36047000200,2,Census Tract 2,G5020,S,276929.0,0.0,+40.6532475,-074.0110678
5,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0210768,INS-000827683,02/06/2025,2025,BA-1114401-2022,BA-1114401,4118 MEAT & PRODUCE CORP.,FOOD UNIVERSE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,4118,3 AVENUE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010664,3007170045,BK32,40.65257446,-74.00951427,POINT (-74.00951427 40.65257446),2818.0,36,047,000200,36047000200,1400000US36047000200,2,Census Tract 2,G5020,S,276929.0,0.0,+40.6532475,-074.0110678
6,Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200,000200,A0210768,INS-000827683,02/06/2025,2025,BA-1114401-2022,BA-1114401,4118 MEAT & PRODUCE CORP.,FOOD UNIVERSE,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,4118,3 AVENUE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3010664,3007170045,BK32,40.65257446,-74.00951427,POINT (-74.00951427 40.65257446),2818.0,36,047,000200,36047000200,1400000US36047000200,2,Census Tract 2,G5020,S,276929.0,0.0,+40.6532475,-074.0110678
7,Census Tract 4; Bronx County; New York,98242,532,2767,0,19,0,2351,812,36,Bronx,000400,000400,A0135763,INS-000667077,09/18/2023,2023,BA-1116154-2022,BA-1116154,AMANA FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,10,0,,Complete Address,7720,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183181,4089080007,QN53,40.69182446,-73.86406059,POINT (-73.86406059 40.69182446),2064.0,36,081,000400,36081000400,1400000US36081000400,4,Census Tract 4,G5020,S,224878.0,0.0,+40.6896831,-073.8647717
8,Census Tract 4; Bronx County; New York,98242,532,2767,0,19,0,2351,812,36,Bronx,000400,000400,A0217814,INS-000840277,03/25/2025,2025,BA-1116154-2022,BA-1116154,AMANA FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,7720,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183181,4089080007,QN53,40.69182446,-73.86406059,POINT (-73.86406059 40.69182446),2064.0,36,081,000400,36081000400,1400000US36081000400,4,Census Tract 4,G5020,S,224878.0,0.0,+40.6896831,-073.8647717
9,Census Tract 16; Bronx County; New York,42957,260,2357,151,282,0,2360,601,36,Bronx,001600,001600,A0164301,INS-000735350,04/18/2024,2024,BA-1264069-2022,BA-1264069,NICK'S & JULIO SUPERMARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,769,WHITE PLAINS RD,,,,BRONX,NY,10473,Bronx,209,18,2092714,2036000025,BX09,40.82180594,-73.85822734,POINT (-73.85822734 40.82180594),4923.0,36,005,001600,36005001600,1400000US36005001600,16,Census Tract 16,G5020,S,485078.0,0.0,+40.8188478,-073.8580764
