NAME,B19013_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
Census Tract 1; Bronx County; New York,-666666666,1393,1610,10,79,0,240,206,36,Bronx,000100
Census Tract 2; Bronx County; New York,121171,782,1671,0,311,0,1874,539,36,Bronx,000200
Census Tract 4; Bronx County; New York,98242,532,2767,0,19,0,2351,812,36,Bronx,000400
Census Tract 16; Bronx County; New York,42957,260,2357,151,282,0,2360,601,36,Bronx,001600
Census Tract 19.01; Bronx County; New York,67361,513,1154,36,12,0,566,120,36,Bronx,001901
Census Tract 19.02; Bronx County; New York,76429,115,423,26,23,500,565,327,36,Bronx,001902
Census Tract 19.03; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,001903
Census Tract 19.04; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,001904
Census Tract 20.01; Bronx County; New York,23208,626,1775,53,0,0,1316,530,36,Bronx,002001
Census Tract 20.02; Bronx County; New York,18029,596,1069,0,0,0,1511,513,36,Bronx,002002
Census Tract 23; Bronx County; New York,18750,456,1695,219,0,0,1565,592,36,Bronx,002300
Census Tract 24; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,002400
Census Tract 25; Bronx County; New York,27207,1056,1540,248,0,0,1712,904,36,Bronx,002500
Census Tract 27.01; Bronx County; New York,18788,150,906,0,27,0,1572,175,36,Bronx,002701
Census Tract 27.02; Bronx County; New York,31379,235,1857,58,0,0,2193,813,36,Bronx,002702
Census Tract 28; Bronx County; New York,66235,591,3514,54,0,0,1071,190,36,Bronx,002800
Census Tract 31; Bronx County; New York,43480,393,1053,13,343,0,633,206,36,Bronx,003100
Census Tract 33; Bronx County; New York,37957,262,1395,93,0,0,1464,193,36,Bronx,003300
Census Tract 35; Bronx County; New York,34508,289,1391,6,24,0,993,826,36,Bronx,003500
Census Tract 37; Bronx County; New York,-666666666,24,117,0,0,0,57,87,36,Bronx,003700
Census Tract 38; Bronx County; New York,42614,34,145,0,46,0,900,90,36,Bronx,003800
Census Tract 39; Bronx County; New York,28508,905,240,287,113,47,3670,1084,36,Bronx,003900
Census Tract 40.01; Bronx County; New York,76050,142,212,27,397,0,462,138,36,Bronx,004001
Census Tract 41; Bronx County; New York,21819,746,2432,46,68,0,2092,888,36,Bronx,004100
Census Tract 42; Bronx County; New York,52974,1086,3991,49,18,0,1939,893,36,Bronx,004200
Census Tract 43; Bronx County; New York,29704,636,1682,44,0,0,1649,1030,36,Bronx,004300
Census Tract 44; Bronx County; New York,21016,513,1679,14,141,0,1583,393,36,Bronx,004400
Census Tract 46; Bronx County; New York,21346,439,567,0,0,0,347,431,36,Bronx,004600
Census Tract 48; Bronx County; New York,45118,434,903,0,130,0,2399,273,36,Bronx,004800
Census Tract 50.01; Bronx County; New York,35164,80,1461,231,67,0,2410,348,36,Bronx,005001
Census Tract 50.02; Bronx County; New York,36066,119,1598,164,0,43,3650,764,36,Bronx,005002
Census Tract 51; Bronx County; New York,25468,651,3266,0,0,0,1843,1035,36,Bronx,005100
Census Tract 52; Bronx County; New York,35147,119,656,56,0,0,833,123,36,Bronx,005200
Census Tract 53; Bronx County; New York,22352,517,2321,0,0,0,1632,126,36,Bronx,005300
Census Tract 54; Bronx County; New York,58452,92,1674,148,133,0,2400,859,36,Bronx,005400
Census Tract 56; Bronx County; New York,47628,58,411,30,107,0,1515,410,36,Bronx,005600
Census Tract 59.02; Bronx County; New York,46902,795,701,0,62,0,572,914,36,Bronx,005902
Census Tract 60; Bronx County; New York,53371,53,264,11,0,0,515,377,36,Bronx,006000
Census Tract 61; Bronx County; New York,75608,326,3148,10,30,0,221,100,36,Bronx,006100
Census Tract 62; Bronx County; New York,27243,265,2540,0,24,0,3103,274,36,Bronx,006200
Census Tract 63.01; Bronx County; New York,58118,1551,3042,0,100,0,1257,294,36,Bronx,006301
Census Tract 63.02; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,006302
Census Tract 64; Bronx County; New York,40778,239,1300,0,59,0,1666,583,36,Bronx,006400
Census Tract 65; Bronx County; New York,24184,1325,1924,0,69,2,1596,266,36,Bronx,006500
Census Tract 67; Bronx County; New York,-666666666,119,1847,0,0,283,2243,1400,36,Bronx,006700
Census Tract 68; Bronx County; New York,33996,310,388,0,334,0,1426,163,36,Bronx,006800
Census Tract 69; Bronx County; New York,32199,635,2452,16,38,0,2434,949,36,Bronx,006900
Census Tract 70; Bronx County; New York,43672,459,990,0,385,0,2047,320,36,Bronx,007000
Census Tract 71; Bronx County; New York,34853,319,837,0,79,0,964,363,36,Bronx,007100
Census Tract 72; Bronx County; New York,64464,476,815,5,2553,8,1188,326,36,Bronx,007200
Census Tract 73; Bronx County; New York,31442,419,2102,184,72,45,1416,317,36,Bronx,007300
Census Tract 74; Bronx County; New York,52641,285,1540,0,0,0,961,495,36,Bronx,007400
Census Tract 75; Bronx County; New York,35892,1161,2164,53,61,0,1675,1429,36,Bronx,007500
